Authors,Title,Conference,Location,Year,Pages,DOI,Indexed
"Pandit, U.K., Jibhakate, D., Mondal, G. and Punera, D.",Influence of corrugation orientation on the elastic buckling capacity of corrugated steel plate shear walls,"1st International Conference on Advanced Technology in Material Science and Engineering, ICATMSE-24",Bhubaneswar. India,2024,,,
"Singha, B and Mondal, G.M.",A Comparison of Ductile and Non-Ductile Detailing in Partially Infilled Reinforced Concrete Frame,"1st International Conference on Advanced Technology in Material Science and Engineering, ICATMSE-24",Bhubaneswar. India,2024,,,
"Jibhakate, D., Pandit, U.K., Mondal, G. and Punera, D.",Effect of varying corrugation parameters of corrugated infill with RC frame using pushover analysis,"1st International Conference on Advanced Technology in Material Science and Engineering, ICATMSE-24",Bhubaneswar. India,2024,,,
"Pandit, U.K. Mondal, G. and Punera, D.",Homogenization-based numerical analysis of corrugated steel infill walls under lateral loading,"18th World Conference on Earthquake Engineering, 18WCEE","Milan, Italy",2024,,,
"Priyadarshini1, M., Mondal, G. and Dash, S. R.",Influence of different types brick masonry in the performance of a RC framed building,18th World Conference on Earthquake Engineering,"Milan, Italy",2024,,,
"Singha, B and Mondal, G.M.",Investigating the impact of interface joint strength on the lateral response of partially infilled frames,"18th World Conference on Earthquake Engineering, 18WCEE","Milan, Italy",2024,,,
"Syed, F.A.Q., Tiwari, S., Dash, S.R. and Mondal, G.",Optimisation study of passive energy dissipator configuration suitable for hybrid PT shear wall,"18th World Conference on Earthquake Engineering, 18WCEE","Milan, Italy",2024,,,
"Tiwari, S., Dash, S.R. and Mondal, G.",Developments in the design of experiments for testing of hybrid post-tensioned shear wall,"18th World Conference on Earthquake Engineering, 18WCEE","Milan, Italy",2024,,,
"Vadlapudi, R.C.L.S.V., Singha, B, Mondal, G. and Dash, S.R.",Effect of toothed wall-frame connection on the lateral response of confined masonry,"18th World Conference on Earthquake Engineering, 18WCEE","Milan, Italy",2024,,,
"Anand, S., Mondal, G. and Saravanan, T.J.",Hydrodynamic effects on the seismic fragility of two-span simply-supported deep sea water bridges,"18th World Conference on Earthquake Engineering, 18WCEE","Milan, Italy",2024,,,
"Harshavardan, V., Reddy, S., Dash, S.R. and Mondal, G.",Experimental validation of RC beam-column joint designed and detailed as per Indian code,"18th World Conference on Earthquake Engineering, 18WCEE","Milan, Italy",2024,,,
"Pandit, U.K. Mondal, G. and Punera, D.",Homogenization-based efficient 1D finite element modelling of a corrugated steel web I-girder,"13th Structural Engineering Convention, SEC-2023","Nagpur, India",2023,,,
"Jaiswal, D.,  Mondal, G., and Dash, S.R.",Development of an Effective and Efficient Baseline Free Damage Detection Scheme for Structural Health Monitoring,Indian Structural Steel Conference,"Hyderabad, India",2022,,,
"Ahamed, S.S., Saravanan, T.J. , Mondal, G., Rajasekharan, S.",Spectral finite element model for a curved beam with an edge crack using classical Love’s shell-type theory,The 8th World Conference on Structural Control and Monitoring (8WCSCM),"Orlando. Florida, USA",2022,,,
"Ahamed, S.S., Saravanan, T.J., Mondal, G., Rajasekharan, S.",Analysis of curved beams with an edge crack using a higher-order spectral element model,1st International Conference on Mechanics of Solids,"Porto, Portugal",2022,,,
"Saravanan, T.J. , Mondal, G., Rajasekharan, S.",Simplified breathing crack element for spectral Timoshenko beam model,1st International Conference on Mechanics of Solids,"Porto, Portugal",2022,,,
"Srusti, B.H.T., Prashant, A., Mondal, G.",Modelling for Simplified Seismic Analysis of Soil-Pile System,Proceedings of the 1st Eurasian Conference on OpenSees: OpenSees Days Eurasia,"Hong Kong, China",2019,,,
"Agarwal, M.P., Radhika, B., Mondal, G.",Estimation of Fragility Curves Using IDA Analysis,"International Conference on Composite Materials and Structures, ICCMS 2017","Hyderabad, India",2017,,,
"Singh, P., Mondal, G.",Response of R.C. Frames with Partial Infill Subjected to Lateral In-Plane Loading,"16th World Conference on Earthquake Engineering, 16WCEE","Santiago, Chile",2017,,,
"Mondal, G. and Tesfamariam, S.",Assessment of Robustness of Masonry Infilled RC Frame Buildings with Consideration of Irregularities,"15th World Conference on Earthquake Engineering, 15WCEE","Lisbon, Portugal",2012,,,
"Chavan, D.S., Mondal, G. and Prashant, A.",Permanent Displacement of Nailed Soil Slopes Subjected to Earthquake Loading,"15th World Conference on Earthquake Engineering, 15WCEE","Lisbon, Portugal",2012,,,
"Rai, D.C., Mondal, G., Singhal, V., Parool, N. and Pradhan, T.",2011 Sikkim Earthquake: Effects on Building Stocks and Perspective on Growing Seismic Risk,"15th World Conference on Earthquake Engineering, 15WCEE","Lisbon, Portugal",2012,,,
"Pradhan, T., Singhal, V., Mondal, G., Parool, N. and Rai, D.C.",Seismic Vulnerability of Buddhist Monasteries: Evidences from the 2011 Sikkim Earthquake and Dynamic Analyses,"15th World Conference on Earthquake Engineering, 15WCEE","Lisbon, Portugal",2012,,,
"Mondal, G. and Jain, S.K.",Two-Dimensional Nonlinear Seismic Analysis of Soil-Well-Pier System Considering Soil Nonlinearity,9th U.S. National and 10th Canadian Conference on Earthquake Engineering,"Toronto, Canada",2010,,,
"Mondal, G. and Jain, S.K.",Effect of Nonlinearity in Pier and Well Foundation on Seismic Response of Bridges,"14th World Conference on Earthquake Engineering, 14WCEE","Bejing, China",2008,,,
"Mondal, G. and Jain, S.K.",Lateral Stiffness of Unreinforced Brick Infilled RC Frames with Central Openings,"8th National Conference on Earthquake Engineering, 8NCEE","San Francisco, California",2006,,,
